alive_cell_count,decay_cell_count,dead_cell_count,cumulative_rule_count,count_alive_0,count_alive_1,grid_difference
124908.0,0.0,125092.0,1.0,62390.0,62518.0,43070.0
143553.0,0.0,106447.0,41.0,98129.0,45424.0,27436.0
159567.0,0.0,90433.0,42.0,121819.0,37748.0,22036.0
172992.0,0.0,77008.0,43.0,140460.0,32532.0,19318.0
184555.0,0.0,65445.0,44.0,155885.0,28670.0,16877.0
194278.0,0.0,55722.0,45.0,168511.0,25767.0,14867.0
202618.0,0.0,47382.0,46.0,179106.0,23512.0,13502.0
209773.0,0.0,40227.0,47.0,188097.0,21676.0,12372.0
215838.0,0.0,34162.0,48.0,195570.0,20268.0,11426.0
221013.0,0.0,28987.0,48.0,201833.0,19180.0,10688.0
118449.0,106886.0,24665.0,50.0,207085.0,18250.0,4405.0
106599.0,122484.0,20917.0,51.0,210868.0,18215.0,2635.0
96322.0,135819.0,17859.0,52.0,213515.0,18626.0,1808.0
87813.0,146968.0,15219.0,53.0,216045.0,18736.0,1236.0
80477.0,156533.0,12990.0,53.0,218150.0,18860.0,833.0
59192.0,179671.0,11137.0,53.0,219888.0,18975.0,506.0
51285.0,189056.0,9659.0,53.0,221310.0,19031.0,316.0
44275.0,197212.0,8513.0,54.0,222394.0,19093.0,218.0
38374.0,204081.0,7545.0,54.0,223332.0,19123.0,162.0
33159.0,210015.0,6826.0,55.0,224031.0,19143.0,118.0
26374.0,217361.0,6265.0,56.0,224564.0,19171.0,80.0
22055.0,222118.0,5827.0,56.0,224982.0,19191.0,65.0
18433.0,226043.0,5524.0,56.0,225278.0,19198.0,41.0
15367.0,229384.0,5249.0,56.0,225542.0,19209.0,37.0
12655.0,232258.0,5087.0,56.0,225695.0,19218.0,24.0
9953.0,235072.0,4975.0,56.0,225805.0,19220.0,15.0
8032.0,237082.0,4886.0,56.0,225893.0,19221.0,17.0
6487.0,238695.0,4818.0,56.0,225954.0,19228.0,13.0
5086.0,240145.0,4769.0,56.0,226002.0,19229.0,11.0
4054.0,241219.0,4727.0,56.0,226041.0,19232.0,8.0
3120.0,242179.0,4701.0,56.0,226067.0,19232.0,9.0
2391.0,242922.0,4687.0,56.0,226078.0,19235.0,5.0
1869.0,243455.0,4676.0,56.0,226092.0,19232.0,2.0
1408.0,243924.0,4668.0,56.0,226098.0,19234.0,1.0
1088.0,244251.0,4661.0,56.0,226106.0,19233.0,1.0
824.0,244519.0,4657.0,56.0,226109.0,19234.0,0.0
617.0,244726.0,4657.0,56.0,226109.0,19234.0,0.0
467.0,244879.0,4654.0,56.0,226112.0,19234.0,0.0
353.0,244994.0,4653.0,56.0,226113.0,19234.0,1.0
256.0,245092.0,4652.0,56.0,226113.0,19235.0,0.0
176.0,245172.0,4652.0,56.0,226113.0,19235.0,0.0
136.0,245212.0,4652.0,56.0,226113.0,19235.0,0.0
105.0,245244.0,4651.0,56.0,226114.0,19235.0,0.0
75.0,245274.0,4651.0,56.0,226114.0,19235.0,0.0
54.0,245296.0,4650.0,56.0,226115.0,19235.0,0.0
39.0,245311.0,4650.0,56.0,226115.0,19235.0,0.0
29.0,245321.0,4650.0,56.0,226115.0,19235.0,0.0
20.0,245330.0,4650.0,56.0,226115.0,19235.0,0.0
14.0,245336.0,4650.0,56.0,226115.0,19235.0,0.0
12.0,245338.0,4650.0,56.0,226115.0,19235.0,11658.0
10.0,138454.0,111536.0,56.0,130887.0,7577.0,1179.0
13.0,122858.0,127129.0,56.0,116473.0,6398.0,923.0
17.0,109526.0,140457.0,56.0,104068.0,5475.0,698.0
20.0,98379.0,151601.0,56.0,93622.0,4777.0,610.0
26.0,88817.0,161157.0,56.0,84676.0,4167.0,1385.0
32.0,65679.0,184289.0,56.0,62929.0,2782.0,553.0
48.0,56294.0,193658.0,56.0,54113.0,2229.0,447.0
70.0,48138.0,201792.0,56.0,46426.0,1782.0,342.0
80.0,41269.0,208651.0,56.0,39909.0,1440.0,284.0
103.0,35335.0,214562.0,56.0,34282.0,1156.0,299.0
133.0,27989.0,221878.0,56.0,27265.0,857.0,187.0
161.0,23237.0,226602.0,56.0,22728.0,670.0,149.0
195.0,19319.0,230486.0,56.0,18993.0,521.0,118.0
234.0,15983.0,233783.0,56.0,15814.0,403.0,93.0
262.0,13118.0,236620.0,56.0,13070.0,310.0,80.0
312.0,10310.0,239378.0,56.0,10392.0,230.0,58.0
365.0,8316.0,241319.0,56.0,8509.0,172.0,43.0
420.0,6725.0,242855.0,56.0,7016.0,129.0,31.0
487.0,5285.0,244228.0,56.0,5674.0,98.0,22.0
561.0,4234.0,245205.0,56.0,4719.0,76.0,18.0
634.0,3304.0,246062.0,57.0,3880.0,58.0,19.0
