alive_cell_count,decay_cell_count,dead_cell_count,cumulative_rule_count,count_alive_0,count_alive_1,grid_difference
124551.0,0.0,125449.0,1.0,62146.0,62405.0,43144.0
143292.0,0.0,106708.0,41.0,98427.0,44865.0,27212.0
159356.0,0.0,90644.0,43.0,122405.0,36951.0,21266.0
173013.0,0.0,76987.0,44.0,141062.0,31951.0,18609.0
184624.0,0.0,65376.0,44.0,156186.0,28438.0,16564.0
194407.0,0.0,55593.0,44.0,168859.0,25548.0,14875.0
202668.0,0.0,47332.0,45.0,179311.0,23357.0,13447.0
209840.0,0.0,40160.0,46.0,188394.0,21446.0,12208.0
215787.0,0.0,34213.0,46.0,195805.0,19982.0,11168.0
220989.0,0.0,29011.0,46.0,202253.0,18736.0,10433.0
100825.0,124551.0,24624.0,46.0,207393.0,17983.0,3675.0
85725.0,143292.0,20983.0,50.0,211077.0,17940.0,1888.0
72697.0,159356.0,17947.0,50.0,213813.0,18240.0,1239.0
61546.0,173013.0,15441.0,50.0,216252.0,18307.0,718.0
52035.0,184624.0,13341.0,50.0,218244.0,18415.0,456.0
43887.0,194407.0,11706.0,51.0,219833.0,18461.0,313.0
36923.0,202668.0,10409.0,51.0,221103.0,18488.0,225.0
30722.0,209840.0,9438.0,51.0,222019.0,18543.0,162.0
25556.0,215787.0,8657.0,53.0,222774.0,18569.0,117.0
20927.0,220989.0,8084.0,53.0,223340.0,18576.0,74.0
16982.0,225376.0,7642.0,53.0,223784.0,18574.0,60.0
13658.0,229017.0,7325.0,53.0,224083.0,18592.0,47.0
10887.0,232053.0,7060.0,53.0,224343.0,18597.0,34.0
8549.0,234559.0,6892.0,53.0,224497.0,18611.0,30.0
6571.0,236659.0,6770.0,53.0,224621.0,18609.0,18.0
5013.0,238294.0,6693.0,53.0,224690.0,18617.0,13.0
3779.0,239591.0,6630.0,53.0,224756.0,18614.0,9.0
2837.0,240562.0,6601.0,53.0,224784.0,18615.0,9.0
2083.0,241343.0,6574.0,53.0,224812.0,18614.0,7.0
1531.0,241916.0,6553.0,53.0,224828.0,18619.0,8.0
1107.0,242358.0,6535.0,53.0,224850.0,18615.0,4.0
794.0,242675.0,6531.0,53.0,224854.0,18615.0,3.0
534.0,242940.0,6526.0,53.0,224860.0,18614.0,2.0
369.0,243108.0,6523.0,53.0,224861.0,18616.0,2.0
248.0,243230.0,6522.0,53.0,224864.0,18614.0,1.0
171.0,243307.0,6522.0,53.0,224863.0,18615.0,1.0
110.0,243370.0,6520.0,53.0,224866.0,18614.0,1.0
82.0,243399.0,6519.0,53.0,224866.0,18615.0,0.0
55.0,243426.0,6519.0,53.0,224866.0,18615.0,0.0
34.0,243447.0,6519.0,53.0,224866.0,18615.0,12364.0
16.0,118914.0,131070.0,53.0,112679.0,6251.0,1296.0
17.0,100177.0,149806.0,53.0,95239.0,4955.0,978.0
21.0,84118.0,165861.0,53.0,80162.0,3977.0,818.0
30.0,70464.0,179506.0,53.0,67335.0,3159.0,684.0
40.0,58854.0,191106.0,53.0,56419.0,2475.0,512.0
57.0,49071.0,200872.0,53.0,47165.0,1963.0,412.0
75.0,40812.0,209113.0,53.0,39336.0,1551.0,338.0
94.0,33641.0,216265.0,53.0,32522.0,1213.0,299.0
120.0,27694.0,222186.0,53.0,26900.0,914.0,202.0
147.0,22492.0,227361.0,53.0,21927.0,712.0,166.0
186.0,18105.0,231709.0,53.0,17745.0,546.0,120.0
227.0,14469.0,235304.0,53.0,14270.0,426.0,88.0
269.0,11442.0,238289.0,53.0,11373.0,338.0,84.0
329.0,8948.0,240723.0,53.0,9023.0,254.0,52.0
387.0,6859.0,242754.0,53.0,7044.0,202.0,56.0
464.0,5241.0,244295.0,53.0,5559.0,146.0,40.0
550.0,3964.0,245486.0,53.0,4408.0,106.0,30.0
654.0,3013.0,246333.0,53.0,3591.0,76.0,13.0
767.0,2258.0,246975.0,53.0,2962.0,63.0,16.0
885.0,1712.0,247403.0,53.0,2550.0,47.0,13.0
999.0,1309.0,247692.0,54.0,2274.0,34.0,11.0
1127.0,1038.0,247835.0,54.0,2142.0,23.0,9.0
1261.0,824.0,247915.0,54.0,2071.0,14.0,8.0
1392.0,728.0,247880.0,54.0,2110.0,10.0,5.0
1559.0,675.0,247766.0,54.0,2229.0,5.0,6.0
1700.0,692.0,247608.0,54.0,2387.0,5.0,3.0
1848.0,735.0,247417.0,54.0,2581.0,2.0,5.0
2008.0,830.0,247162.0,54.0,2833.0,5.0,4.0
2135.0,942.0,246923.0,54.0,3076.0,1.0,9.0
2258.0,1066.0,246676.0,54.0,3316.0,8.0,6.0
2389.0,1201.0,246410.0,54.0,3586.0,4.0,6.0
2516.0,1371.0,246113.0,54.0,3883.0,4.0,9.0
2673.0,1551.0,245776.0,54.0,4219.0,5.0,7.0
2792.0,1751.0,245457.0,54.0,4539.0,4.0,6.0
2912.0,1986.0,245102.0,56.0,4896.0,2.0,10.0
3025.0,2221.0,244754.0,56.0,5238.0,8.0,7.0
3141.0,2473.0,244386.0,57.0,5609.0,5.0,10.0
3254.0,2756.0,243990.0,57.0,5999.0,11.0,7.0
3384.0,3022.0,243594.0,58.0,6400.0,6.0,8.0
3564.0,3290.0,243146.0,59.0,6846.0,8.0,13.0
3739.0,3574.0,242687.0,59.0,7302.0,11.0,12.0
3862.0,3870.0,242268.0,60.0,7717.0,15.0,12.0
3993.0,4203.0,241804.0,62.0,8181.0,15.0,9.0
4128.0,4513.0,241359.0,63.0,8629.0,12.0,12.0
4282.0,4858.0,240860.0,63.0,9120.0,20.0,7.0
4427.0,5189.0,240384.0,63.0,9599.0,17.0,5.0
4577.0,5539.0,239884.0,64.0,10098.0,18.0,6.0
4715.0,5916.0,239369.0,67.0,10613.0,18.0,8.0
4825.0,6286.0,238889.0,69.0,11091.0,20.0,11.0
4924.0,6707.0,238369.0,71.0,11608.0,23.0,8.0
5024.0,7127.0,237849.0,71.0,12128.0,23.0,8.0
5149.0,7505.0,237346.0,73.0,12629.0,25.0,9.0
5223.0,7927.0,236850.0,74.0,13120.0,30.0,9.0
5401.0,8312.0,236287.0,75.0,13682.0,31.0,14.0
5549.0,8753.0,235698.0,77.0,14265.0,37.0,14.0
5654.0,9152.0,235194.0,78.0,14769.0,37.0,18.0
5811.0,9566.0,234623.0,79.0,15334.0,43.0,18.0
5931.0,9977.0,234092.0,80.0,15867.0,41.0,20.0
6054.0,10344.0,233602.0,83.0,16353.0,45.0,15.0
6195.0,10746.0,233059.0,86.0,16901.0,40.0,25.0
6330.0,11152.0,232518.0,92.0,17429.0,53.0,14.0
6532.0,11527.0,231941.0,95.0,18006.0,53.0,18.0
6731.0,11889.0,231380.0,99.0,18571.0,49.0,33.0
6805.0,12321.0,230874.0,101.0,19060.0,66.0,25.0
6928.0,12743.0,230329.0,104.0,19612.0,59.0,23.0
7054.0,13106.0,229840.0,105.0,20098.0,62.0,30.0
7160.0,13529.0,229311.0,109.0,20615.0,74.0,25.0
7327.0,13900.0,228773.0,110.0,21152.0,75.0,24.0
7498.0,14263.0,228239.0,111.0,21682.0,79.0,30.0
7638.0,14683.0,227679.0,116.0,22234.0,87.0,26.0
7784.0,15093.0,227123.0,123.0,22786.0,91.0,30.0
7888.0,15543.0,226569.0,125.0,23332.0,99.0,33.0
7968.0,15947.0,226085.0,129.0,23811.0,104.0,35.0
8094.0,16334.0,225572.0,130.0,24321.0,107.0,48.0
8222.0,16759.0,225019.0,131.0,24870.0,111.0,57.0
8376.0,17135.0,224489.0,133.0,25381.0,130.0,46.0
8437.0,17548.0,224015.0,136.0,25851.0,134.0,42.0
8459.0,17973.0,223568.0,136.0,26290.0,142.0,46.0
8574.0,18377.0,223049.0,139.0,26809.0,142.0,54.0
8592.0,18757.0,222651.0,142.0,27197.0,152.0,59.0
8680.0,19138.0,222182.0,143.0,27675.0,143.0,58.0
8703.0,19569.0,221728.0,146.0,28121.0,151.0,71.0
8796.0,19922.0,221282.0,150.0,28548.0,170.0,54.0
8852.0,20300.0,220848.0,151.0,28982.0,170.0,64.0
8893.0,20699.0,220408.0,157.0,29420.0,172.0,55.0
9023.0,21084.0,219893.0,162.0,29932.0,175.0,82.0
9142.0,21408.0,219450.0,164.0,30357.0,193.0,75.0
9353.0,21717.0,218930.0,169.0,30874.0,196.0,69.0
9515.0,22126.0,218359.0,171.0,31436.0,205.0,65.0
9703.0,22425.0,217872.0,176.0,31924.0,204.0,72.0
9824.0,22794.0,217382.0,180.0,32402.0,216.0,76.0
9986.0,23123.0,216891.0,182.0,32893.0,216.0,85.0
10094.0,23495.0,216411.0,188.0,33348.0,241.0,83.0
10266.0,23751.0,215983.0,190.0,33753.0,264.0,71.0
10349.0,24043.0,215608.0,196.0,34131.0,261.0,91.0
10400.0,24453.0,215147.0,198.0,34577.0,276.0,91.0
10496.0,24739.0,214765.0,201.0,34952.0,283.0,87.0
10582.0,25139.0,214279.0,206.0,35429.0,292.0,100.0
10683.0,25587.0,213730.0,211.0,35972.0,298.0,101.0
10805.0,25933.0,213262.0,215.0,36425.0,313.0,96.0
10947.0,26288.0,212765.0,222.0,36896.0,339.0,91.0
11075.0,26577.0,212348.0,230.0,37316.0,336.0,111.0
11240.0,26858.0,211902.0,233.0,37739.0,359.0,97.0
11337.0,27212.0,211451.0,237.0,38179.0,370.0,102.0
11525.0,27464.0,211011.0,243.0,38615.0,374.0,116.0
11665.0,27799.0,210536.0,248.0,39074.0,390.0,123.0
11852.0,28075.0,210073.0,252.0,39534.0,393.0,134.0
12073.0,28394.0,209533.0,259.0,40056.0,411.0,126.0
12235.0,28772.0,208993.0,260.0,40598.0,409.0,122.0
12416.0,29100.0,208484.0,268.0,41085.0,431.0,133.0
12545.0,29451.0,208004.0,273.0,41572.0,424.0,142.0
12646.0,29764.0,207590.0,278.0,41968.0,442.0,131.0
12842.0,30130.0,207028.0,281.0,42559.0,413.0,160.0
13062.0,30455.0,206483.0,288.0,43072.0,445.0,150.0
13259.0,30767.0,205974.0,289.0,43579.0,447.0,151.0
13447.0,31088.0,205465.0,292.0,44071.0,464.0,161.0
13640.0,31490.0,204870.0,296.0,44661.0,469.0,178.0
13698.0,32008.0,204294.0,302.0,45219.0,487.0,182.0
13880.0,32433.0,203687.0,308.0,45804.0,509.0,195.0
14081.0,32924.0,202995.0,314.0,46483.0,522.0,216.0
14268.0,33316.0,202416.0,320.0,47030.0,554.0,195.0
14518.0,33707.0,201775.0,324.0,47670.0,555.0,208.0
14691.0,34176.0,201133.0,327.0,48284.0,583.0,214.0
14911.0,34665.0,200424.0,330.0,48977.0,599.0,216.0
15112.0,35133.0,199755.0,337.0,49636.0,609.0,243.0
15370.0,35512.0,199118.0,346.0,50252.0,630.0,261.0
15445.0,35988.0,198567.0,351.0,50780.0,653.0,258.0
15654.0,36353.0,197993.0,358.0,51348.0,659.0,268.0
15744.0,36798.0,197458.0,361.0,51863.0,679.0,272.0
15875.0,37302.0,196823.0,365.0,52484.0,693.0,267.0
16005.0,37760.0,196235.0,366.0,53039.0,726.0,276.0
16177.0,38239.0,195584.0,372.0,53664.0,752.0,259.0
16258.0,38773.0,194969.0,378.0,54258.0,773.0,297.0
16367.0,39310.0,194323.0,384.0,54893.0,784.0,297.0
16390.0,39896.0,193714.0,392.0,55473.0,813.0,290.0
16456.0,40482.0,193062.0,398.0,56101.0,837.0,274.0
16655.0,40937.0,192408.0,406.0,56751.0,841.0,319.0
16687.0,41425.0,191888.0,414.0,57230.0,882.0,275.0
16784.0,41859.0,191357.0,422.0,57760.0,883.0,290.0
16845.0,42372.0,190783.0,426.0,58326.0,891.0,306.0
16924.0,42818.0,190258.0,433.0,58803.0,939.0,336.0
16857.0,43341.0,189802.0,441.0,59259.0,939.0,336.0
16933.0,43791.0,189276.0,447.0,59751.0,973.0,337.0
16946.0,44340.0,188714.0,450.0,60280.0,1006.0,311.0
16976.0,44761.0,188263.0,454.0,60742.0,995.0,333.0
17088.0,45273.0,187639.0,458.0,61335.0,1026.0,352.0
17248.0,45740.0,187012.0,469.0,61946.0,1042.0,342.0
17371.0,46039.0,186590.0,473.0,62324.0,1086.0,367.0
17510.0,46408.0,186082.0,476.0,62819.0,1099.0,372.0
17575.0,46801.0,185624.0,485.0,63277.0,1099.0,353.0
17623.0,47197.0,185180.0,490.0,63676.0,1144.0,334.0
17898.0,47552.0,184550.0,497.0,64312.0,1138.0,333.0
18019.0,47882.0,184099.0,508.0,64722.0,1179.0,355.0
18151.0,48224.0,183625.0,517.0,65167.0,1208.0,369.0
18385.0,48478.0,183137.0,524.0,65644.0,1219.0,369.0
18418.0,48914.0,182668.0,532.0,66106.0,1226.0,373.0
18456.0,49348.0,182196.0,542.0,66547.0,1257.0,391.0
18679.0,49712.0,181609.0,548.0,67119.0,1272.0,366.0
18765.0,50038.0,181197.0,555.0,67559.0,1244.0,399.0
